NAME	TITLE	SCORE	
ZEB1		9.29513	
FLNC		8.913788	
SLC16A2		8.604744	
HSPB6		8.548183	
STX2		8.532407	
CPEB1		8.425884	
NLRP1		8.345363	
DPY19L1		8.077824	
STARD8		7.82916	
SNCA		7.7480664	
MFAP4		7.616122	
TRPC1		7.563372	
ZCCHC24		7.5537815	
FGF2		7.5260305	
CORO2B		7.511838	
NUDT11		7.446785	
FEZ1		7.41847	
NEDD4		7.318442	
LINC00341		7.240791	
PCOLCE2		7.2092423	
MAN1C1		7.1617126	
DFNA5		7.1590724	
DDR2		7.1531935	
RECK		7.1370907	
TENC1		7.083195	
OSTM1		7.0438495	
RHOBTB3		7.004487	
MAPRE2		7.003623	
ATP1A2		6.9872403	
NBEA		6.9779716	
AGTR1		6.9408536	
NPR2		6.9154754	
SNCAIP		6.897956	
NAV3		6.858555	
MAPK7		6.819257	
TTBK2		6.8093076	
LEFTY2		6.8002195	
KDELC1		6.768294	
DZIP1		6.75787	
NGF		6.7307777	
AOX1		6.705553	
KIAA1462		6.6190605	
BACH2		6.5927076	
MN1		6.5903935	
PDGFRB		6.5781927	
ITPR1		6.568936	
LRRN3		6.5278587	
CCDC88A		6.5275216	
JAM2		6.476024	
DENND2A		6.455255	
GNE		6.448774	
FHL1		6.4357524	
LYVE1		6.348974	
ANXA6		6.3446927	
GPRASP1		6.335318	
LY6H		6.2987356	
MAPK10		6.292121	
NOVA1		6.2638416	
JAKMIP2		6.2527456	
EMP3		6.2431335	
MAGEL2		6.2354093	
NAALAD2		6.2157083	
C16orf45		6.2063723	
SCRG1		6.190815	
SYDE1		6.1905713	
NAP1L2		6.1811295	
SLC35G2		6.1682534	
NR2F1		6.1646147	
CAMK1		6.1308327	
HSPB7		6.096828	
AASS		6.091749	
KCNA5		6.062308	
NAP1L3		6.033393	
ZFP37		6.0180774	
DCHS1		6.013175	
DACT1		5.997922	
DGKD		5.9804316	
ATP10D		5.954624	
RAB8B		5.93396	
HLF		5.9284043	
CNTLN		5.9273224	
